|      0 |      1 |      2 |      3 |
-------------------------------------
|   4405 |   4412 |   4424 |     -7 |
|   4420 |   4408 |   4413 |     -7 |
|   4397 |   4411 |   4419 |     -7 |
|   4416 |   4409 |   4411 |     -7 |
|   4396 |   4416 |   4413 |     -7 |
|   4415 |   4406 |   4415 |     -7 |
|   4396 |   4421 |   4412 |     -7 |
|   4417 |   4405 |   4419 |     -7 |
|   4398 |   4424 |   4408 |    -11 |
|   4416 |   4407 |   4425 |    -11 |
|   4403 |   4422 |   4407 |    -11 |
|   4407 |   4401 |   4423 |    -11 |
|   4409 |   4418 |   4406 |    -10 |
|   4404 |   4407 |   4424 |    -10 |
|   4410 |   4418 |   4405 |    -11 |
|   4406 |   4405 |   4423 |    -10 |
|   4411 |   4413 |   4407 |    -11 |
